name,x,y
Rotterdam Centraal,91908.000000,437673.000000
Stadhuis,92460.000000,437613.000000
Beurs,92667.000000,437046.000000
Leuvehaven,92703.000000,436522.000000
Rijnhaven,93732.000000,435422.000000
Maashaven,93564.000000,434663.000000
Zuidplein,93084.000000,433487.000000
Slinge,92337.000000,432154.000000
Rhoon,88317.000000,430511.000000
Poortugaal,86739.000000,430826.000000
Hoogvliet,84715.000000,430746.000000
Zalmplaat,84458.000000,430158.000000
Spijkenisse Centrum,82464.000000,429201.000000
Heemraadlaan,82247.000000,428263.000000
De Akkers,81493.000000,427738.000000
Wilhelminaplein,93392.000000,435880.000000
Tussenwater,85355.000000,430943.000000
Nesselande,99980.000000,443705.000000
De Terp,100854.000000,438882.000000
Capelle Centrum,100095.000000,438379.000000
Slotlaan,99337.000000,438081.000000
Binnenhof,96448.000000,441670.000000
Romeynshof,96952.000000,441790.000000
De Tochten,99412.000000,442572.000000
Ambachtsland,98837.000000,442237.000000
Nieuw Verlaat,98256.000000,442137.000000
Hesseplaats,97611.000000,441970.000000
Graskruid,97421.000000,441335.000000
Alexander,97568.000000,440721.000000
Oosterflank,97781.000000,439936.000000
Prinsenlaan,97893.000000,439390.000000
Schenkel,98342.000000,438559.000000
Capelsebrug,97880.000000,437264.000000
Kralingse Zoom,96305.000000,437347.000000
Voorschoterlaan,94841.000000,437769.000000
Gerdesiaweg,94378.000000,437867.000000
Oostplein,93727.000000,437574.000000
Blaak,93260.000000,437220.000000
Eendrachtsplein,92113.000000,436775.000000
Dijkzigt,91670.000000,436365.000000
Coolhaven,91097.000000,436053.000000
Delfshaven,90221.000000,436150.000000
Marconiplein,89297.000000,436552.000000
Schiedam Centrum,87826.000000,437432.000000
Parkweg,86688.000000,437482.000000
Troelstralaan,85972.000000,436785.000000
Vijfsluizen,85136.000000,436022.000000
Pernis,85804.000000,433381.000000
Meijersplein,91417.000000,441200.000000
Blijdorp,91082.000000,438446.000000
Melanchthonweg,91558.000000,440495.000000
Rodenrijs,91328.000000,443583.000000
Berkel Westpolder,90911.000000,445155.000000
Pijnacker Zuid,90339.000000,446788.000000
Pijnacker Centrum,89756.000000,448575.000000
Nootdorp,88271.000000,451516.000000
Leidschenveen,87388.000000,453334.000000
Forepark,86825.000000,453993.000000
Leidschendam-Voorburg,86210.000000,454744.000000
Voorburg 't Loo,85062.000000,455334.000000
Laan van NOI,83387.000000,455039.000000
Den Haag Centraal,82121.000000,455200.000000
