date,count
2015-12-07,1082
2015-12-08,1107
2015-12-09,1107
2015-12-10,1107
2015-12-11,1099
2015-12-12,841
2015-12-13,747
2015-12-14,1113
2015-12-15,1111
2015-12-16,1111
2015-12-17,1111
2015-12-18,1103
2015-12-19,891
2015-12-20,747
2015-12-21,1113
2015-12-22,1111
2015-12-23,1103
2015-12-24,1112
2015-12-25,750
2015-12-26,746
2015-12-27,748
2015-12-28,874
2015-12-29,871
2015-12-30,871
2015-12-31,730
2016-01-01,725
2016-01-02,799
2016-01-03,746
2016-01-04,1113
2016-01-05,1111
2016-01-06,1111
2016-01-07,1111
2016-01-08,1103
2016-01-09,891
2016-01-10,747
2016-01-11,1113
2016-01-12,1111
2016-01-13,1111
2016-01-14,1111
2016-01-15,1103
2016-01-16,891
2016-01-17,747
2016-01-18,1113
2016-01-19,1111
2016-01-20,1111
2016-01-21,1111
2016-01-22,1103
2016-01-23,891
2016-01-24,747
2016-01-25,1113
2016-01-26,1111
2016-01-27,1111
2016-01-28,1111
2016-01-29,1103
2016-01-30,891
2016-01-31,747
2016-02-01,1113
2016-02-02,1111
2016-02-03,1111
2016-02-04,1111
2016-02-05,1103
2016-02-06,891
2016-02-07,747
2016-02-08,1113
2016-02-09,1111
2016-02-10,1111
2016-02-11,1111
2016-02-12,1103
2016-02-13,891
2016-02-14,747
2016-02-15,1113
2016-02-16,1111
2016-02-17,1111
2016-02-18,1111
2016-02-19,1103
2016-02-20,891
2016-02-21,747
2016-02-22,1113
2016-02-23,1111
2016-02-24,1111
2016-02-25,1111
2016-02-26,1103
2016-02-27,891
2016-02-28,747
2016-02-29,1113
2016-03-01,1111
2016-03-02,1111
2016-03-03,1111
2016-03-04,1103
2016-03-05,891
2016-03-06,747
2016-03-07,1113
2016-03-08,1111
2016-03-09,1111
2016-03-10,1111
2016-03-11,1103
2016-03-12,891
2016-03-13,747
