hour,Day_Of_Week,CountRides
0,1,7951
0,2,8274
0,3,7735
0,4,7735
0,5,7746
0,6,7184
0,7,7876
1,1,196
1,2,196
1,3,200
1,4,200
1,5,200
1,6,185
1,7,192
5,2,2820
5,3,2820
5,4,2802
5,5,2812
5,6,2207
6,2,13353
6,3,13353
6,4,13334
6,5,13364
6,6,11305
6,7,3335
7,1,1820
7,2,19390
7,3,19390
7,4,19381
7,5,19390
7,6,17119
7,7,10259
8,1,10710
8,2,20554
8,3,20554
8,4,20552
8,5,20554
8,6,19451
8,7,10890
9,1,11004
9,2,18967
9,3,18967
9,4,18970
9,5,18967
9,6,18214
9,7,11031
10,1,11816
10,2,17838
10,3,17838
10,4,17838
10,5,17838
10,6,17268
10,7,12223
11,1,13076
11,2,17864
11,3,17864
11,4,17864
11,5,17864
11,6,17460
11,7,15856
12,1,13230
12,2,17865
12,3,17865
12,4,17865
12,5,17865
12,6,17500
12,7,17405
13,1,13216
13,2,17863
13,3,17863
13,4,17863
13,5,17863
13,6,17500
13,7,17475
14,1,13216
14,2,17968
14,3,17968
14,4,17968
14,5,17968
14,6,17596
14,7,17473
15,1,13216
15,2,20338
15,3,20338
15,4,20330
15,5,20338
15,6,19636
15,7,17470
16,1,13216
16,2,20619
16,3,20619
16,4,20619
16,5,20619
16,6,19984
16,7,17479
17,1,12992
17,2,20360
17,3,20360
17,4,20359
17,5,20360
17,6,19729
17,7,17004
18,1,12236
18,2,18298
18,3,18298
18,4,18300
18,5,18312
18,6,17837
18,7,14265
19,1,11928
19,2,15577
19,3,15577
19,4,15512
19,5,15578
19,6,14551
19,7,12325
20,1,11018
20,2,11298
20,3,11298
20,4,11284
20,5,10950
20,6,11110
20,7,11017
21,1,10976
21,2,11066
21,3,11066
21,4,11060
21,5,10284
21,6,10987
21,7,10949
22,1,10976
22,2,10989
22,3,10989
22,4,10989
22,5,10205
22,6,10988
22,7,10949
23,1,10976
23,2,10976
23,3,10976
23,4,10976
23,5,10192
23,6,10976
23,7,10962
