StationName, Stops
Beurs,90544
Kralingse Zoom,54737
Capelsebrug,53724
Blaak,49970
Gerdesiaweg,49970
Oostplein,49970
Voorschoterlaan,49970
Schiedam Centrum,49183
Marconiplein,49170
Dijkzigt,49170
Eendrachtsplein,49170
Delfshaven,49170
Coolhaven,49170
Rotterdam Centraal,41668
Slinge,41374
Rijnhaven,41374
Wilhelminaplein,41374
Zuidplein,41374
Leuvehaven,41374
Maashaven,41374
Stadhuis,41254
Tussenwater,39930
Zalmplaat,39930
Spijkenisse Centrum,39930
Heemraadlaan,39930
Hoogvliet,39930
De Akkers,39930
Alexander,36157
Graskruid,36157
Schenkel,35661
Prinsenlaan,35661
Oosterflank,35661
Poortugaal,21912
Rhoon,21912
Slotlaan,18299
De Terp,18299
Capelle Centrum,18299
Hesseplaats,18188
Nesselande,18188
Nieuw Verlaat,18188
De Tochten,18188
Ambachtsland,18188
Berkel Westpolder,18060
Forepark,18060
Den Haag Centraal,18060
Blijdorp,18060
Nootdorp,18060
Meijersplein,18060
Melanchthonweg,18060
Laan van NOI,18060
Leidschendam-Voorburg,18060
Leidschenveen,18060
Rodenrijs,18060
Pijnacker Centrum,18060
Pijnacker Zuid,18060
Voorburg 't Loo,18060
Vijfsluizen,18018
Troelstralaan,18018
Parkweg,18018
Pernis,18018
Binnenhof,17969
Romeynshof,17969
